Unnamed: 0,type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),name,desc,is_curve,speed,add_curve,remove_curve
881,T,37.0042021,-86.3672778,522.9,120.3,1.9,0.856,5.44,,,False,40,False,False
882,T,37.0041957,-86.3672603,523.0,114.6,1.9,0.857,5.62,,,False,40,False,False
883,T,37.0041892,-86.3672456,523.0,119.0,1.7,0.858,4.9,,,False,40,False,False
884,T,37.004185,-86.3672282,523.1,106.8,1.7,0.859,5.31,,,False,40,False,False
885,T,37.0041817,-86.3672147,523.2,107.0,1.6,0.86,4.12,,,False,40,False,False
886,T,37.0041753,-86.3672027,523.3,123.7,1.6,0.86,4.21,,,False,40,False,False
887,T,37.00417,-86.3671852,523.4,110.8,1.6,0.861,5.46,,,False,40,False,False
888,T,37.0041646,-86.3671705,523.4,114.7,1.6,0.862,4.72,,,False,40,False,False
889,T,37.0041614,-86.3671531,523.5,103.0,1.4,0.863,5.21,,,False,40,False,False
890,T,37.004156,-86.367137,523.6,112.8,1.5,0.864,5.1,,,False,40,False,False
891,T,37.0041496,-86.3671209,523.7,116.5,1.4,0.865,5.25,,,False,40,False,False
892,T,37.0041443,-86.3671034,523.7,110.8,1.4,0.866,5.46,,,False,40,False,False
893,T,37.00414,-86.3670887,523.8,110.1,1.3,0.867,4.57,,,False,40,False,False
894,T,37.0041346,-86.3670726,523.9,112.8,1.7,0.868,5.1,,,False,40,False,False
895,T,37.0041314,-86.3670578,524.0,105.1,1.8,0.869,4.48,,,False,40,False,False
896,T,37.0041239,-86.3670391,524.1,116.7,1.5,0.87,6.11,,,False,40,False,False
897,T,37.0041164,-86.3670203,524.1,116.5,1.3,0.871,6.13,,,False,40,False,False
898,T,37.0041111,-86.3670029,524.2,110.9,1.3,0.872,5.44,,,False,40,False,False
899,T,37.0041057,-86.3669841,524.3,109.8,1.2,0.873,5.83,,,False,40,False,False
900,T,37.0041003,-86.366968,524.3,112.8,1.0,0.874,5.1,,,False,40,False,False
901,T,37.0040961,-86.3669519,524.4,108.1,0.9,0.875,4.94,,,False,40,False,False
902,T,37.0040907,-86.3669412,524.4,122.3,0.5,0.876,3.69,,,False,40,False,False
903,T,37.0040854,-86.3669251,524.4,112.4,0.6,0.877,5.08,,,False,40,False,False
904,T,37.0040811,-86.3669103,524.4,110.0,0.6,0.878,4.6,,,False,40,False,False
905,T,37.0040757,-86.3668942,524.5,112.8,0.4,0.879,5.1,,,True,40,False,False
906,T,37.0040746,-86.3668795,524.5,95.4,0.8,0.88,4.31,,,True,39,False,False
907,T,37.0040704,-86.3668661,524.5,111.4,0.2,0.88,4.2,,,True,38,False,False
908,T,37.004065,-86.366854,524.5,119.2,-0.2,0.881,4.04,,,True,37,False,False
909,T,37.0040586,-86.3668379,524.5,116.5,-0.3,0.882,5.25,,,True,36,False,False
910,T,37.0040532,-86.3668218,524.5,112.8,-0.1,0.883,5.1,,,True,35,False,False
911,T,37.0040468,-86.3668003,524.5,110.4,0.0,0.884,6.7,,,True,35,False,False
912,T,37.0040414,-86.3667829,524.5,111.2,0.6,0.886,5.45,,,True,34,False,False
913,T,37.004035,-86.3667682,524.5,118.6,0.1,0.886,4.88,,,True,33,False,False
914,T,37.0040307,-86.3667561,524.5,114.0,0.4,0.887,3.86,,,True,32,False,False
915,T,37.0040254,-86.36674,524.6,112.4,1.3,0.888,5.08,,,True,31,False,False
916,T,37.0040211,-86.3667266,524.7,111.9,2.2,0.889,4.21,,,True,30,False,False
917,T,37.0040125,-86.3667091,524.8,121.6,2.3,0.89,5.99,,,True,30,False,False
918,T,37.004005,-86.3666904,525.0,116.7,2.0,0.891,6.11,,,True,29,False,False
919,T,37.0039975,-86.3666716,525.1,116.5,1.9,0.892,6.13,,,True,28,False,False
920,T,37.0039908,-86.3666582,525.2,122.1,1.8,0.893,4.61,,,True,27,False,False
921,T,37.0039865,-86.3666435,525.2,110.1,1.7,0.894,4.57,,,True,26,False,False
922,T,37.0039779,-86.3666287,525.3,126.0,1.6,0.895,5.34,,,True,25,False,False
923,T,37.0039704,-86.366614,525.4,122.6,1.5,0.896,5.09,,,True,25,False,False
924,T,37.0039608,-86.3665992,525.5,129.1,1.4,0.897,5.56,,,True,24,False,False
925,T,37.0039533,-86.3665885,525.5,131.3,1.2,0.898,4.15,,,True,23,False,False
926,T,37.0039447,-86.3665764,525.6,131.7,1.2,0.899,4.72,,,True,22,False,False
927,T,37.0039361,-86.3665643,525.6,131.7,1.0,0.9,4.72,,,True,21,False,False
928,T,37.0039276,-86.3665536,525.7,134.8,0.8,0.901,4.4,,,True,20,False,False
929,T,37.0039169,-86.3665429,525.7,141.4,0.7,0.902,4.99,,,True,20,False,False
930,T,37.0039051,-86.3665335,525.7,147.5,0.6,0.902,5.1,,,True,19,False,False
931,T,37.0038933,-86.3665281,525.7,159.9,0.4,0.903,4.58,,,True,18,False,False
932,T,37.0038815,-86.3665214,525.8,155.6,0.8,0.904,4.72,,,True,17,False,False
933,T,37.0038687,-86.3665161,525.8,161.7,0.7,0.905,4.91,,,True,16,False,False
934,T,37.0038569,-86.3665107,525.8,159.9,0.6,0.906,4.58,,,True,15,False,False
935,T,37.0038451,-86.3665067,525.9,164.9,0.5,0.907,4.45,,,True,15,False,False
936,T,37.0038312,-86.3665026,525.9,166.7,0.4,0.908,5.2,,,True,14,False,False
937,T,37.0038194,-86.3664973,525.9,160.3,0.5,0.909,4.57,,,True,13,False,False
938,T,37.0038076,-86.3664946,525.9,169.6,0.3,0.91,4.37,,,True,12,False,False
939,T,37.0037937,-86.3664933,525.9,175.7,0.2,0.911,5.08,,,True,11,False,False
940,T,37.0037808,-86.3664933,525.9,180.0,0.2,0.911,4.7,,,True,10,False,False
941,T,37.003768,-86.3664919,526.0,175.0,0.2,0.912,4.68,,,True,10,False,False
942,T,37.0037562,-86.3664919,526.0,180.0,0.2,0.913,4.3,,,True,10,False,False
943,T,37.0037391,-86.3664919,525.9,180.0,-0.5,0.914,6.23,,,True,11,False,False
944,T,37.0037273,-86.3664919,525.9,180.0,-1.0,0.915,4.3,,,True,12,False,False
945,T,37.0037144,-86.3664933,525.8,185.0,-0.9,0.916,4.71,,,True,13,False,False
946,T,37.0036995,-86.3664933,525.8,180.0,-1.0,0.917,5.43,,,True,14,False,False
947,T,37.0036877,-86.3664946,525.7,185.0,-1.0,0.918,4.31,,,True,15,False,False
948,T,37.0036737,-86.3664973,525.7,188.8,-1.0,0.919,5.16,,,True,15,False,False
949,T,37.0036609,-86.3665026,525.6,198.3,-1.1,0.92,4.91,,,True,16,False,False
950,T,37.0036491,-86.3665067,525.6,195.5,-1.1,0.921,4.46,,,True,17,False,False
951,T,37.0036395,-86.366512,525.6,203.8,-1.0,0.921,3.82,,,True,18,False,False
952,T,37.0036288,-86.3665174,525.5,202.0,-1.2,0.922,4.2,,,True,19,False,False
953,T,37.0036191,-86.3665228,525.5,204.0,-1.1,0.923,3.87,,,True,20,False,False
954,T,37.0036063,-86.3665295,525.4,202.7,-1.0,0.924,5.05,,,True,20,False,False
955,T,37.0035945,-86.3665362,525.4,204.4,-0.8,0.925,4.72,,,True,21,False,False
956,T,37.0035816,-86.3665456,525.3,210.2,-0.7,0.926,5.44,,,True,22,False,False
957,T,37.0035699,-86.3665536,525.3,208.6,-0.9,0.927,4.86,,,True,23,False,False
958,T,37.0035592,-86.3665643,525.3,218.6,-0.8,0.928,4.99,,,True,24,False,False
959,T,37.0035474,-86.366571,525.2,204.4,-1.0,0.928,4.72,,,True,25,False,False
960,T,37.0035388,-86.3665804,525.2,221.1,-0.9,0.929,4.16,,,True,25,False,False
961,T,37.0035281,-86.3665912,525.1,218.9,-1.0,0.93,5.01,,,True,26,False,False
962,T,37.0035142,-86.3666032,525.0,214.6,-1.1,0.931,6.16,,,True,27,False,False
963,T,37.0035024,-86.366614,525.0,216.2,-1.2,0.932,5.33,,,True,28,False,False
964,T,37.0034906,-86.3666233,524.9,212.2,-1.3,0.933,5.08,,,True,29,False,False
965,T,37.003481,-86.3666368,524.9,228.3,-1.2,0.934,5.27,,,True,30,False,False
966,T,37.0034703,-86.3666475,524.8,218.6,-1.6,0.935,4.99,,,True,30,False,False
967,T,37.0034595,-86.3666582,524.6,218.4,-2.7,0.936,5.02,,,True,31,False,False
968,T,37.003452,-86.3666689,524.5,228.7,-2.4,0.937,4.15,,,True,32,False,False
969,T,37.0034435,-86.3666797,524.4,225.4,-2.6,0.938,4.42,,,True,33,False,False
970,T,37.003436,-86.3666904,524.3,228.7,-2.6,0.939,4.15,,,True,34,False,False
971,T,37.0034274,-86.3667025,524.2,228.3,-2.7,0.94,4.72,,,True,35,False,False
972,T,37.0034167,-86.3667132,524.0,218.6,-3.0,0.94,4.99,,,True,35,False,False
973,T,37.0034092,-86.3667226,523.9,225.0,-3.1,0.941,3.87,,,True,36,False,False
974,T,37.0033985,-86.366732,523.8,215.1,-3.3,0.942,4.77,,,True,37,False,False
975,T,37.0033899,-86.366744,523.6,228.1,-3.1,0.943,4.7,,,True,38,False,False
976,T,37.0033835,-86.3667548,523.5,233.4,-2.9,0.944,3.92,,,False,39,False,False
977,T,37.003376,-86.3667642,523.4,225.0,-3.3,0.944,3.87,,,False,40,False,False
978,T,37.0033685,-86.3667722,523.2,220.4,-3.6,0.945,3.59,,,False,40,False,False
979,T,37.0033599,-86.3667829,523.1,224.8,-3.5,0.946,4.42,,,False,40,False,False
980,T,37.0033514,-86.366795,522.9,228.7,-3.4,0.947,4.7,,,False,40,False,False
981,T,37.0033428,-86.3668044,522.8,221.1,-3.8,0.948,4.16,,,False,40,False,False
982,T,37.0033342,-86.3668124,522.6,216.6,-5.7,0.948,3.91,,,False,40,False,False
983,T,37.0033257,-86.3668218,522.3,221.4,-6.3,0.949,4.14,,,False,40,False,False
984,T,37.0033182,-86.3668299,522.1,220.8,-6.4,0.95,3.61,,,False,40,False,False
985,T,37.0033107,-86.3668406,521.8,228.7,-6.6,0.951,4.15,,,False,40,False,False
986,T,37.0033032,-86.3668513,521.5,228.7,-6.9,0.951,4.15,,,False,40,False,False
987,T,37.0032968,-86.3668607,521.3,229.6,-6.9,0.952,3.6,,,False,40,False,False
988,T,37.0032893,-86.3668701,521.0,225.0,-7.1,0.953,3.87,,,False,40,False,False
989,T,37.0032807,-86.3668808,520.7,224.8,-7.3,0.954,4.42,,,False,40,False,False
990,T,37.0032732,-86.3668916,520.3,229.0,-7.5,0.955,4.17,,,False,40,False,False
991,T,37.0032657,-86.3669023,520.0,228.7,-7.6,0.955,4.15,,,False,40,False,False
992,T,37.0032593,-86.366913,519.7,233.2,-7.7,0.956,3.9,,,False,40,False,False
993,T,37.0032507,-86.3669224,519.4,221.1,-7.9,0.957,4.16,,,False,40,False,False
994,T,37.0032421,-86.3669291,519.1,211.9,-7.7,0.958,3.69,,,False,40,False,False
995,T,37.0032368,-86.3669385,518.8,234.8,-8.2,0.958,3.36,,,False,40,False,False
996,T,37.0032282,-86.3669492,518.5,224.8,-8.3,0.959,4.42,,,False,40,False,False
997,T,37.0032186,-86.3669613,518.0,225.2,-8.6,0.96,4.97,,,False,40,False,False
998,T,37.00321,-86.3669761,517.6,234.0,-8.7,0.961,5.34,,,False,40,False,False
999,T,37.0031993,-86.3669895,517.1,225.0,-9.0,0.962,5.52,,,False,40,False,False
1000,T,37.0031929,-86.3670002,516.8,233.2,-8.4,0.963,3.9,,,False,40,False,False
1001,T,37.0031864,-86.3670096,516.5,229.1,-5.7,0.963,3.62,,,False,40,False,False
1002,T,37.0031779,-86.367023,516.3,231.5,-5.8,0.964,4.99,,,False,40,False,False
1003,T,37.0031714,-86.3670324,516.1,229.1,-5.3,0.965,3.62,,,False,40,False,False
1004,T,37.003165,-86.3670445,515.8,236.5,-5.7,0.966,4.23,,,False,40,False,False
1005,T,37.0031586,-86.3670538,515.6,229.2,-5.1,0.967,3.58,,,False,40,False,False
1006,T,37.00315,-86.3670659,515.4,228.3,-4.9,0.967,4.72,,,False,40,False,False
1007,T,37.0031436,-86.3670766,515.2,233.2,-5.1,0.968,3.9,,,False,40,False,False
1008,T,37.0031393,-86.3670874,515.0,243.5,-6.1,0.969,3.52,,,False,40,False,False
1009,T,37.0031307,-86.3670981,514.8,224.8,-5.5,0.97,4.42,,,False,40,False,False
1010,T,37.0031233,-86.3671102,514.5,232.6,-6.0,0.971,4.44,,,False,40,False,False
1011,T,37.0031168,-86.3671209,514.3,232.7,-5.9,0.971,3.92,,,False,40,False,False
1012,T,37.0031104,-86.367133,514.0,236.5,-6.0,0.972,4.23,,,False,40,False,False
1013,T,37.003104,-86.3671437,513.8,233.2,-5.7,0.973,3.9,,,False,40,False,False
1014,T,37.0030975,-86.3671571,513.5,238.7,-6.0,0.974,4.57,,,False,40,False,False
1015,T,37.0030922,-86.3671692,513.3,241.3,-6.0,0.974,4.03,,,False,40,False,False
1016,T,37.0030836,-86.3671812,513.0,228.1,-4.8,0.975,4.7,,,False,40,False,False
1017,T,37.0030804,-86.367192,512.8,249.6,-6.4,0.976,3.36,,,False,40,False,False
1018,T,37.0030718,-86.3672027,512.6,224.8,-4.3,0.977,4.42,,,False,40,False,False
1019,T,37.0030633,-86.3672175,512.4,234.3,-5.0,0.978,5.32,,,False,40,False,False
1020,T,37.0030579,-86.3672322,512.1,245.3,-5.8,0.979,4.72,,,False,40,False,False
1021,T,37.0030526,-86.3672456,511.9,243.7,-5.5,0.98,4.36,,,False,40,False,False
1022,T,37.0030461,-86.367259,511.6,238.7,-5.0,0.98,4.57,,,False,40,False,False
1023,T,37.0030397,-86.3672711,511.4,236.5,-4.7,0.981,4.23,,,False,40,False,False
1024,T,37.0030344,-86.3672818,511.3,238.2,-4.7,0.982,3.67,,,False,40,False,False
1025,T,37.003029,-86.3672966,511.0,245.4,-5.2,0.983,4.75,,,False,40,False,False
1026,T,37.0030236,-86.3673113,510.8,245.3,-5.1,0.984,4.72,,,False,40,False,False
1027,T,37.0030194,-86.3673234,510.6,246.5,-5.0,0.984,3.85,,,False,40,False,False
1028,T,37.0030151,-86.3673382,510.3,250.0,-5.3,0.985,4.6,,,False,40,False,False
1029,T,37.0030108,-86.3673502,510.1,245.8,-4.8,0.986,3.84,,,False,40,False,False
1030,T,37.0030076,-86.367365,509.9,254.9,-4.7,0.987,4.48,,,False,40,False,False
1031,T,37.0030033,-86.3673784,509.9,248.1,-1.9,0.988,4.21,,,False,40,False,False
1032,T,37.002999,-86.3673918,509.8,248.1,-1.9,0.988,4.21,,,False,40,False,False
1033,T,37.0029937,-86.3674065,509.7,245.7,-1.8,0.989,4.71,,,False,40,False,False
1034,T,37.0029883,-86.3674226,509.6,247.2,-1.9,0.99,5.1,,,False,40,False,False
1035,T,37.002984,-86.3674374,509.5,250.0,-2.1,0.991,4.6,,,False,40,False,False
1036,T,37.0029776,-86.3674548,509.4,245.3,-1.8,0.992,5.59,,,False,40,False,False
1037,T,37.0029733,-86.3674723,509.3,252.9,-2.3,0.993,5.34,,,False,40,False,False
1038,T,37.002969,-86.3674843,509.2,245.8,-1.9,0.994,3.84,,,False,40,False,False
1039,T,37.0029647,-86.3674991,509.1,250.0,-2.1,0.995,4.6,,,False,40,False,False
1040,T,37.0029626,-86.3675085,509.0,254.4,-2.4,0.995,2.85,,,True,40,False,False
1041,T,37.0029594,-86.3675272,508.9,257.9,-2.6,0.996,5.58,,,True,38,False,False
1042,T,37.0029551,-86.3675433,508.8,251.5,-2.3,0.997,4.96,,,True,37,False,False
1043,T,37.0029508,-86.3675594,508.7,251.5,-2.3,0.998,4.96,,,True,36,False,False
1044,T,37.0029476,-86.3675796,508.5,258.8,-2.7,0.999,6.01,,,True,35,False,False
1045,T,37.0029465,-86.3675997,508.3,266.1,-3.0,1.001,5.88,,,True,34,False,False
1046,T,37.0029444,-86.3676158,508.2,260.7,-2.8,1.001,4.76,,,True,33,False,False
1047,T,37.0029433,-86.3676372,508.0,266.3,-3.0,1.003,6.26,,,True,32,False,False
1048,T,37.0029422,-86.3676533,508.0,265.1,0.6,1.004,4.72,,,True,31,False,False
1049,T,37.0029412,-86.3676667,508.1,264.7,1.1,1.004,3.93,,,True,30,False,False
1050,T,37.0029401,-86.3676815,508.1,264.7,1.1,1.005,4.34,,,True,29,False,False
1051,T,37.0029401,-86.3676949,508.2,270.0,0.9,1.006,3.91,,,True,28,False,False
1052,T,37.0029412,-86.3677096,508.2,275.4,0.7,1.007,4.31,,,True,27,False,False
1053,T,37.0029412,-86.3677271,508.2,270.0,0.8,1.008,5.11,,,True,26,False,False
1054,T,37.0029412,-86.3677418,508.3,270.0,0.9,1.008,4.29,,,True,25,False,False
1055,T,37.0029412,-86.3677579,508.3,270.0,0.8,1.009,4.7,,,True,24,False,False
1056,T,37.0029433,-86.367774,508.3,279.3,0.6,1.01,4.76,,,True,23,False,False
1057,T,37.0029455,-86.3677901,508.4,279.7,0.6,1.011,4.77,,,True,22,False,False
1058,T,37.0029476,-86.3678062,508.4,279.3,0.6,1.012,4.76,,,True,21,False,False
1059,T,37.0029497,-86.3678209,508.4,280.1,0.5,1.013,4.36,,,True,20,False,False
1060,T,37.002953,-86.3678384,508.4,283.3,0.5,1.014,5.25,,,True,21,False,False
1061,T,37.0029572,-86.3678505,508.4,293.5,0.1,1.015,3.85,,,True,22,False,False
1062,T,37.0029605,-86.3678639,508.5,287.1,0.4,1.015,4.09,,,True,23,False,False
1063,T,37.0029647,-86.3678759,508.5,293.7,0.2,1.016,3.82,,,True,24,False,False
1064,T,37.0029701,-86.3678893,508.5,296.8,0.1,1.017,4.38,,,True,25,False,False
1065,T,37.0029744,-86.3679028,508.5,291.7,0.3,1.018,4.24,,,True,26,False,False
1066,T,37.0029787,-86.3679162,508.5,291.9,0.3,1.019,4.21,,,True,27,False,False
1067,T,37.0029819,-86.3679282,508.6,288.5,2.9,1.019,3.69,,,True,28,False,False
1068,T,37.0029894,-86.3679416,508.7,305.0,2.2,1.02,4.77,,,True,29,False,False
1069,T,37.0029947,-86.3679537,508.8,298.7,2.6,1.021,4.03,,,True,30,False,False
1070,T,37.002999,-86.3679671,508.9,291.9,3.0,1.022,4.21,,,True,31,False,False
1071,T,37.0030044,-86.3679765,509.0,305.7,2.3,1.022,3.38,,,True,32,False,False
1072,T,37.0030097,-86.3679872,509.1,301.8,2.7,1.023,3.67,,,True,33,False,False
1073,T,37.0030172,-86.3679993,509.2,307.8,2.4,1.024,4.47,,,True,34,False,False
1074,T,37.0030247,-86.3680114,509.3,307.8,2.5,1.025,4.47,,,True,35,False,False
1075,T,37.0030301,-86.3680221,509.4,302.3,2.8,1.025,3.69,,,True,36,False,False
1076,T,37.0030344,-86.3680355,509.6,291.9,3.4,1.026,4.21,,,True,37,False,False
1077,T,37.0030408,-86.3680449,509.7,310.4,2.6,1.027,3.6,,,True,38,False,False
1078,T,37.0030472,-86.368057,509.8,303.5,3.0,1.028,4.23,,,True,40,False,False
1079,T,37.0030547,-86.3680691,509.9,307.8,2.9,1.029,4.47,,,False,40,False,False
1080,T,37.0030622,-86.3680798,510.0,311.3,2.8,1.029,4.15,,,False,40,False,False
1081,T,37.0030676,-86.3680919,510.2,299.2,3.4,1.03,4.04,,,False,40,False,False
1082,T,37.0030751,-86.3681012,510.3,315.3,2.7,1.031,3.85,,,False,40,False,False
1083,T,37.0030815,-86.368112,510.4,306.6,3.2,1.032,3.92,,,False,40,False,False
1084,T,37.0030868,-86.368124,510.6,298.9,3.7,1.032,4.0,,,False,40,False,False
1085,T,37.0030975,-86.3681348,510.7,321.1,2.6,1.033,5.01,,,False,40,False,False
1086,T,37.003104,-86.3681468,510.8,304.1,3.6,1.034,4.23,,,False,40,False,False
1087,T,37.0031125,-86.3681589,511.0,311.3,3.4,1.035,4.7,,,False,40,False,False
1088,T,37.00312,-86.3681723,511.2,305.0,3.7,1.036,4.77,,,False,40,False,False
1089,T,37.0031275,-86.3681817,511.3,315.0,3.3,1.037,3.87,,,False,40,False,False
1090,T,37.0031372,-86.3681978,511.5,307.0,3.8,1.038,5.88,,,False,40,False,False
1091,T,37.0031457,-86.3682126,511.7,305.7,3.8,1.039,5.32,,,False,40,False,False
1092,T,37.0031532,-86.3682246,511.9,308.0,3.6,1.04,4.44,,,False,40,False,False
1093,T,37.0031607,-86.3682394,512.1,302.4,3.9,1.041,5.11,,,False,40,False,False
1094,T,37.0031693,-86.3682514,512.2,311.9,3.3,1.041,4.7,,,False,40,False,False
1095,T,37.0031768,-86.3682675,512.4,300.3,3.8,1.042,5.44,,,False,40,False,False
1096,T,37.0031864,-86.3682783,512.6,318.1,2.9,1.043,4.71,,,False,40,False,False
1097,T,37.003195,-86.3682917,512.8,308.8,3.4,1.044,5.01,,,False,40,False,False
1098,T,37.0032014,-86.3683064,513.0,298.6,5.1,1.045,4.88,,,False,40,False,False
1099,T,37.0032089,-86.3683185,513.2,307.8,5.1,1.046,4.47,,,False,40,False,False
1100,T,37.0032164,-86.3683333,513.5,302.4,4.9,1.047,5.11,,,False,40,False,False
1101,T,37.003225,-86.3683467,513.7,308.8,4.8,1.048,5.01,,,False,40,False,False
1102,T,37.0032346,-86.3683628,514.0,306.7,4.7,1.049,5.86,,,False,40,False,False
1103,T,37.0032443,-86.3683735,514.2,318.6,4.5,1.05,4.72,,,False,40,False,False
1104,T,37.0032518,-86.3683896,514.5,300.3,4.6,1.051,5.44,,,False,40,False,False
1105,T,37.0032593,-86.3684016,514.7,308.0,4.4,1.052,4.44,,,False,40,False,False
1106,T,37.0032668,-86.3684151,514.9,304.8,4.4,1.053,4.8,,,False,40,False,False
1107,T,37.0032753,-86.3684258,515.0,314.8,4.1,1.054,4.4,,,False,40,False,False
1108,T,37.0032828,-86.3684392,515.2,305.0,4.2,1.055,4.77,,,False,40,False,False
1109,T,37.0032914,-86.3684513,515.4,311.7,4.0,1.055,4.72,,,False,40,False,False
1110,T,37.0032978,-86.3684647,515.6,300.9,4.0,1.056,4.55,,,False,40,False,False
1111,T,37.0033075,-86.3684781,515.8,312.2,3.7,1.057,5.27,,,False,40,False,False
1112,T,37.0033139,-86.3684915,516.0,300.9,3.7,1.058,4.55,,,False,40,False,False
1113,T,37.0033235,-86.3685049,516.2,311.9,3.5,1.059,5.25,,,False,40,False,False
1114,T,37.003331,-86.3685183,516.3,305.0,3.5,1.06,4.77,,,False,40,False,False
1115,T,37.0033375,-86.3685304,516.5,303.9,3.5,1.061,4.25,,,False,40,False,False
1116,T,37.0033439,-86.3685478,516.7,294.7,3.5,1.062,5.59,,,False,40,False,False
1117,T,37.0033503,-86.3685626,516.8,298.4,3.3,1.063,4.91,,,False,40,False,False
1118,T,37.0033578,-86.368572,517.0,315.0,3.1,1.064,3.87,,,False,40,False,False
1119,T,37.0033642,-86.368584,517.1,303.7,3.2,1.064,4.21,,,True,40,False,False
1120,T,37.0033717,-86.3685974,517.2,305.0,3.1,1.065,4.77,,,True,39,False,False
1121,T,37.0033803,-86.3686095,517.4,311.7,2.8,1.066,4.72,,,True,38,False,False
1122,T,37.0033867,-86.3686256,517.5,296.5,3.1,1.067,5.25,,,True,37,False,False
1123,T,37.003391,-86.3686404,517.7,290.0,3.1,1.068,4.6,,,True,37,False,False
1124,T,37.0033974,-86.3686538,517.8,300.9,2.9,1.069,4.55,,,True,36,False,False
1125,T,37.0034017,-86.3686632,517.9,299.8,2.8,1.069,3.16,,,True,35,False,False
1126,T,37.0034081,-86.3686779,518.0,298.6,2.8,1.07,4.88,,,True,34,False,False
1127,T,37.0034156,-86.3686913,518.2,305.0,2.7,1.071,4.77,,,True,34,False,False
1128,T,37.0034221,-86.3687021,518.3,307.0,2.5,1.072,3.94,,,True,33,False,False
1129,T,37.0034285,-86.3687141,518.4,303.7,2.6,1.073,4.21,,,True,32,False,False
1130,T,37.0034338,-86.3687302,518.5,292.4,2.6,1.074,5.08,,,True,31,False,False
1131,T,37.0034392,-86.3687396,518.6,305.7,2.4,1.074,3.38,,,True,31,False,False
1132,T,37.0034446,-86.368753,518.7,296.8,2.7,1.075,4.38,,,True,30,False,False
1133,T,37.0034478,-86.3687678,518.9,285.1,3.5,1.076,4.48,,,True,29,False,False
1134,T,37.003452,-86.3687839,519.0,288.1,3.6,1.077,4.94,,,True,29,False,False
1135,T,37.0034563,-86.3687973,519.2,291.9,3.5,1.078,4.21,,,True,28,False,False
1136,T,37.0034585,-86.3688093,519.3,282.9,3.6,1.079,3.59,,,True,27,False,False
1137,T,37.0034628,-86.3688254,519.5,288.5,3.6,1.079,4.96,,,True,26,False,False
1138,T,37.003466,-86.3688402,519.6,285.1,3.6,1.08,4.48,,,True,26,False,False
1139,T,37.0034681,-86.3688549,519.8,280.1,3.7,1.081,4.36,,,True,25,False,False
1140,T,37.0034713,-86.3688697,520.0,285.1,3.6,1.082,4.48,,,True,24,False,False
1141,T,37.0034724,-86.3688844,520.1,275.4,3.7,1.083,4.31,,,True,23,False,False
1142,T,37.0034735,-86.3688965,520.3,276.5,3.9,1.083,3.56,,,True,23,False,False
1143,T,37.0034735,-86.3689126,520.4,270.0,3.6,1.084,4.7,,,True,22,False,False
1144,T,37.0034735,-86.3689287,520.6,270.0,3.6,1.085,4.7,,,True,21,False,False
1145,T,37.0034735,-86.3689461,520.8,270.0,3.7,1.086,5.08,,,True,20,False,False
1146,T,37.0034724,-86.3689622,521.0,265.1,3.4,1.087,4.72,,,True,20,False,False
1147,T,37.0034724,-86.368977,521.1,270.0,3.6,1.088,4.32,,,True,19,False,False
1148,T,37.0034713,-86.3689931,521.3,265.1,3.5,1.089,4.72,,,True,18,False,False
1149,T,37.0034692,-86.3690065,521.4,258.9,3.5,1.09,3.99,,,True,18,False,False
1150,T,37.0034692,-86.3690199,521.6,270.0,3.6,1.09,3.91,,,True,17,False,False
1151,T,37.003466,-86.3690346,521.7,254.8,3.0,1.091,4.45,,,True,16,False,False
1152,T,37.0034649,-86.3690494,521.8,264.7,2.7,1.092,4.34,,,True,15,False,False
1153,T,37.0034617,-86.3690642,521.9,254.9,2.6,1.093,4.48,,,True,15,False,False
1154,T,37.0034585,-86.3690776,522.0,253.4,2.6,1.094,4.08,,,True,14,False,False
1155,T,37.0034542,-86.3690937,522.2,251.5,2.4,1.095,4.96,,,True,13,False,False
1156,T,37.003451,-86.3691124,522.3,257.9,2.6,1.096,5.58,,,True,12,False,False
1157,T,37.0034456,-86.3691326,522.5,251.5,2.5,1.097,6.22,,,True,12,False,False
1158,T,37.0034435,-86.3691473,522.6,259.9,2.7,1.098,4.36,,,True,11,False,False
1159,T,37.0034381,-86.3691621,522.7,245.4,2.3,1.099,4.75,,,True,10,False,False
1160,T,37.0034338,-86.3691781,522.8,251.4,2.5,1.099,4.93,,,True,10,False,False
1161,T,37.0034285,-86.3691942,522.9,247.6,2.4,1.1,5.08,,,True,10,False,False
1162,T,37.0034242,-86.369209,523.0,250.0,2.4,1.101,4.6,,,True,11,False,False
1163,T,37.0034199,-86.3692237,523.1,249.9,2.4,1.102,4.57,,,True,12,False,False
1164,T,37.0034135,-86.3692358,523.2,236.5,2.0,1.103,4.23,,,True,12,False,False
1165,T,37.0034103,-86.3692479,523.3,251.7,2.5,1.104,3.72,,,True,13,False,False
1166,T,37.0034049,-86.3692573,523.4,234.3,1.9,1.104,3.38,,,True,14,False,False
1167,T,37.0033996,-86.3692707,523.5,243.7,2.3,1.105,4.36,,,True,15,False,False
1168,T,37.0033942,-86.3692841,523.6,243.2,2.2,1.106,4.38,,,True,15,False,False
1169,T,37.0033867,-86.3692975,523.7,235.0,1.9,1.107,4.77,,,True,16,False,False
1170,T,37.0033814,-86.3693096,523.8,241.3,1.7,1.108,4.03,,,True,17,False,False
1171,T,37.0033749,-86.369323,523.8,238.7,0.9,1.108,4.57,,,True,17,False,False
