Unnamed: 0,type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),name,desc,is_curve,speed,add_curve,remove_curve
66,T,37.0004107,-86.3711408,515.9,261.0,-0.3,0.055,5.14,,,True,10,False,False
67,T,37.0004043,-86.3711583,515.9,245.4,-0.1,0.056,5.62,,,True,10,False,False
68,T,37.0003989,-86.371173,515.9,245.3,0.0,0.057,4.72,,,True,11,False,False
69,T,37.0003947,-86.3711878,515.9,250.4,-0.1,0.058,4.58,,,True,12,False,False
70,T,37.0003904,-86.3712025,515.9,249.9,0.0,0.059,4.57,,,True,13,False,False
71,T,37.0003861,-86.3712186,515.9,251.5,0.0,0.06,4.96,,,True,14,False,False
72,T,37.0003797,-86.3712361,515.9,245.4,0.1,0.061,5.62,,,True,15,False,False
73,T,37.0003722,-86.3712508,515.9,237.4,0.3,0.062,5.09,,,True,16,False,False
74,T,37.0003668,-86.3712629,515.9,240.8,-0.5,0.063,4.04,,,True,17,False,False
75,T,37.0003604,-86.3712736,515.9,233.2,-0.3,0.063,3.9,,,True,18,False,False
76,T,37.0003518,-86.3712884,515.9,234.0,-0.3,0.064,5.34,,,True,19,False,False
77,T,37.0003454,-86.3712991,515.8,233.2,-0.3,0.065,3.9,,,True,20,False,False
78,T,37.00034,-86.3713112,515.8,240.8,-0.4,0.066,4.04,,,True,21,False,False
79,T,37.0003304,-86.3713205,515.8,217.7,0.1,0.067,4.43,,,True,22,False,False
80,T,37.0003218,-86.3713299,515.8,221.1,0.1,0.068,4.16,,,True,23,False,False
81,T,37.0003154,-86.3713393,515.8,229.6,-0.1,0.068,3.6,,,True,24,False,False
82,T,37.0003068,-86.3713474,515.8,217.0,0.2,0.069,3.92,,,True,25,False,False
83,T,37.0002983,-86.3713568,515.8,221.5,0.2,0.07,4.14,,,True,25,False,False
84,T,37.0002886,-86.3713661,515.9,217.4,0.2,0.071,4.46,,,True,26,False,False
85,T,37.0002822,-86.3713755,515.9,229.6,0.0,0.071,3.6,,,True,27,False,False
86,T,37.0002726,-86.3713836,515.9,214.0,0.3,0.072,4.22,,,True,28,False,False
87,T,37.0002618,-86.3713943,515.9,218.4,0.3,0.073,5.02,,,True,29,False,False
88,T,37.0002543,-86.3714024,515.9,220.8,0.3,0.074,3.61,,,True,30,False,False
89,T,37.0002468,-86.3714104,515.9,220.4,0.3,0.074,3.59,,,True,31,False,False
90,T,37.0002372,-86.3714184,515.9,213.6,0.4,0.075,4.2,,,True,32,False,False
91,T,37.0002286,-86.3714265,515.9,217.0,0.4,0.076,3.92,,,True,33,False,False
92,T,37.0002179,-86.3714332,516.0,206.6,0.6,0.077,4.36,,,True,34,False,False
93,T,37.0002083,-86.3714412,516.0,213.6,0.5,0.078,4.2,,,True,35,False,False
94,T,37.0001965,-86.3714506,516.0,212.5,0.5,0.079,5.1,,,True,36,False,False
95,T,37.0001815,-86.3714587,516.0,203.3,0.8,0.08,5.95,,,True,37,False,False
